genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Opera,Jean-Baptiste Lully,Isis Opera In 5 Acts With Prologue / Prologue: C'est lui dont les dieux ont fait choix,7z6QxpsiUjyTJDNx3fzMjo,15,0.876,0.444,115333,0.34,0,B,0.285,-9.961,Major,0.0643,93.447,04-Apr,0.35
Opera,Jean-Philippe Rameau,"Zoroastre, RCT 62: Ouverture",0PcjrVndFDLhvDHDp4q10E,15,0.934,0.347,259587,0.187,0.196,C#,0.0934,-14.522,Major,0.0403,114.073,04-Apr,0.314
Opera,Jean-Philippe Rameau,"Suite in E Major, RCT2: II. Deux Rigaudons",0rZT4l6WE4dIvfxRv2CIn0,11,0.991,0.448,168827,0.144,0.872,E,0.149,-25.258,Major,0.0368,95.712,04-Apr,0.73
Opera,Pietro Mascagni,Cavalleria Rusticana: Intermezzo (Godfather III),0tiXnzgDGTwg4BxWMK0gJZ,10,0.849,0.126,219160,0.0633,0.934,F,0.125,-22.618,Major,0.042,78.434,03-Apr,0.0377
Opera,Tomaso Albinoni,"Trattenimenti armonici per camera, divisi in dodici sonate à violino, violone e cembalo, Opera sexta, Sonata No. 2 in G Minor: III. Largo",0vn35Qqwry4gRlKq8iXnt5,11,0.727,0.101,141747,0.126,0.0044,D#,0.11,-19.61,Major,0.0385,76.339,04-Apr,0.191
Opera,René Jacobs,"Handel: Admeto, rè di Tessaglia, HWV 22, Act 3 Scene 2: No. 31, Aria, ""La tigre arde di sdegno"" (Admeto)",1A5PhGjNfe9IhZ8abRjN6O,13,0.971,0.464,293000,0.192,0.000239,E,0.531,-19.369,Major,0.042,114.378,03-Apr,0.538
Opera,Jean-Baptiste Lully,Triumphe de L'Amour (1681): Prélude pour la nuit,1chAozhFNvhWC49QIBdwsJ,15,0.943,0.109,298000,0.0209,0.0703,C#,0.0942,-23.758,Minor,0.0415,82.914,05-Apr,0.0378
Opera,Tomaso Albinoni,"Il penar senza speranza, T. 204 No. 9: No. 3, Non vo più seguir Cupido",29h5Piw7OA6buUWgIhWkpT,14,0.943,0.29,180400,0.21,1.21E-06,A#,0.179,-14.114,Minor,0.0469,176.865,03-Apr,0.486
Opera,Alessandro Scarlatti,Griselda: Figlio! Tiranno! O Dio!,2qnLPkHannb0M1qLxM5Gqs,10,0.969,0.418,136040,0.0958,4.55E-06,D,0.0447,-21.453,Major,0.0783,145.671,03-Apr,0.288
Opera,Tomaso Albinoni,"Suonate a tre doi violini e violoncello col basso per l’organo, Opera prima, Sonata No. 3 in A Major: II. Allegro",3AyxTuHvOCE3Iy6YK0peK1,10,0.819,0.406,128480,0.323,0.00902,A,0.107,-16.057,Major,0.0349,95.629,04-Apr,0.712
Opera,Pietro Mascagni,"Cavalleria rusticana: ""Regina coeli laetare""",3Taj6hVVqmtDLFOyU8BCbW,15,0.973,0.211,325787,0.331,0.0157,G,0.428,-14.301,Major,0.0411,140.551,04-Apr,0.079
